Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,5,M,17
1,2,8,8,H,16
2,1,1,5,M,17
2,2,8,9,H,15
3,1,1,7,M,17
3,2,7,8,M,15
4,1,9,5,M,17
4,2,7,9,M,15
5,1,6,2,M,17
5,2,8,7,H,14
6,1,4,1,M,17
6,2,7,7,M,14
7,1,6,9,M,17
7,2,9,8,M,14
8,1,1,0,M,17
8,2,8,6,H,13
9,1,5,9,M,17
9,2,9,7,M,13
10,1,6,7,M,17
10,2,7,6,M,13
11,1,3,6,H,16
11,2,9,9,M,13
12,1,3,5,H,15
12,2,8,5,H,12
13,1,3,4,H,14
13,2,9,5,M,12
14,1,2,6,M,14
14,2,9,6,M,12
15,1,3,7,H,13
15,2,8,4,M,12
16,1,3,3,M,13
16,2,7,5,M,12
17,1,4,6,M,13
17,2,4,2,M,12
18,1,2,4,M,13
18,2,5,4,M,12
19,1,3,8,H,12
19,2,2,1,M,12
20,1,4,8,M,12
20,2,4,0,M,12
21,1,2,8,M,12
21,2,4,7,M,12
22,1,4,5,M,12
22,2,7,3,M,12
23,1,2,7,M,12
23,2,2,4,M,12
24,1,4,7,M,12
24,2,4,6,M,12
25,1,4,4,M,12
25,2,6,2,H,11
26,1,2,5,M,12
26,2,6,3,H,10
27,1,3,9,M,12
27,2,6,1,M,10
28,1,8,9,M,12
28,2,6,4,H,9
29,1,1,3,M,12
29,2,7,2,M,9
30,1,9,6,M,12
30,2,6,5,M,9
31,1,4,0,M,12
31,2,5,2,M,9
32,1,4,2,M,12
32,2,5,3,M,9
33,1,7,7,H,11
33,2,7,4,M,9
34,1,7,6,M,11
34,2,0,5,M,9
35,1,7,8,H,10
35,2,9,0,M,9
36,1,8,8,M,10
36,2,5,6,M,9
37,1,7,9,M,10
37,2,8,0,M,9
38,1,6,8,M,10
38,2,3,9,M,9
39,1,8,7,H,9
39,2,6,9,M,9
40,1,8,6,H,8
40,2,6,8,M,9
41,1,8,5,H,7
41,2,6,6,M,9
42,1,7,5,M,7
42,2,3,2,M,9
43,1,9,7,H,6
43,2,2,9,M,9
44,1,8,4,M,6
44,2,8,2,M,9
45,1,9,8,H,5
45,2,0,4,M,9
46,1,9,9,H,4
46,2,6,7,M,9
47,1,0,7,M,4
47,2,3,0,M,9
48,1,3,2,M,4
48,2,2,7,M,9
49,1,6,1,M,4
49,2,5,5,M,9
50,1,8,2,M,4
50,2,4,5,M,9
51,1,1,6,M,4
51,2,1,7,M,9
52,1,7,3,H,3
52,2,1,1,M,9
53,1,7,4,M,3
53,2,0,2,M,9
54,1,6,3,H,2
54,2,1,4,M,9
55,1,5,3,M,2
55,2,3,6,H,8
56,1,8,3,H,1
56,2,2,6,M,8
57,1,6,4,M,1
57,2,3,7,H,7
58,1,7,2,M,1
58,2,3,5,H,6
59,1,9,3,H,0
59,2,3,4,H,5
60,1,9,4,M,0
60,2,3,3,M,5
61,1,9,2,M,0
61,2,4,4,M,5
62,1,0,4,M,0
62,2,3,8,H,4
63,1,4,3,M,0
63,2,2,8,H,3
64,1,5,4,M,0
64,2,2,5,M,3
65,1,0,2,M,0
65,2,4,8,H,2
66,1,5,8,M,0
66,2,4,9,M,2
67,1,4,9,M,0
67,2,5,8,M,2
68,1,2,2,M,0
68,2,1,8,M,2
69,1,1,2,M,0
69,2,9,1,M,2
70,1,5,7,M,0
70,2,0,1,M,2
71,1,0,9,M,0
71,2,1,6,M,2
72,1,5,1,M,0
72,2,5,9,M,2
73,1,1,1,M,0
73,2,7,0,M,2
74,1,3,0,M,0
74,2,8,3,M,2
75,1,0,8,M,0
75,2,1,0,M,2
76,1,8,1,M,0
76,2,9,2,M,2
77,1,0,5,M,0
77,2,5,7,M,2
78,1,9,1,M,0
78,2,5,1,M,2
79,1,5,2,M,0
79,2,9,3,M,2
80,1,0,0,M,0
80,2,0,6,M,2
81,1,6,6,M,0
81,2,0,7,M,2
82,1,9,0,M,0
82,2,0,3,M,2
83,1,2,0,M,0
83,2,4,3,M,2
84,1,8,0,M,0
84,2,3,1,M,2
85,1,1,9,M,0
85,2,0,8,M,2
86,1,5,6,M,0
86,2,2,3,M,2
87,1,7,0,M,0
87,2,2,2,M,2
88,1,1,8,M,0
88,2,9,4,M,2
89,1,3,1,M,0
89,2,2,0,M,2
90,1,0,6,M,0
90,2,1,2,H,1
91,1,5,0,M,0
91,2,1,3,H,0
